Timestamp,CPU_%,RAM_GB,GPU_%,VRAM_GB
19:49:34,5.4,10.25,13.0,9.74
19:49:36,8.7,10.25,13.0,9.72
19:49:38,6.3,10.25,15.0,9.72
19:49:40,7.8,10.26,16.0,9.74
19:49:42,6.8,10.23,13.0,9.74
19:49:44,5.7,10.23,13.0,9.74
19:49:46,9.1,10.24,13.0,9.72
19:49:48,11.9,10.4,18.0,9.75
19:49:50,16.6,10.31,10.0,9.8
19:49:52,7.3,10.31,16.0,9.75
19:49:54,4.8,10.32,13.0,9.78
19:49:56,9.6,10.31,13.0,9.78
19:49:58,15.1,10.34,88.0,9.77
19:50:00,14.3,10.34,18.0,9.79
19:50:02,8.7,10.34,19.0,9.82
19:50:04,6.1,10.32,18.0,9.79
19:50:06,6.4,10.31,21.0,9.8
19:50:08,8.7,10.29,21.0,9.79
19:50:10,6.7,10.29,21.0,9.77
19:50:12,6.6,10.29,21.0,9.75
19:50:14,12.0,10.34,22.0,9.76
19:50:16,9.6,10.34,22.0,9.77
19:50:18,7.8,10.35,18.0,9.78
19:50:20,9.1,10.36,19.0,9.8
19:50:22,9.3,10.34,19.0,9.82
19:50:24,6.9,10.33,18.0,9.82
19:50:26,8.1,10.32,18.0,9.77
19:50:28,8.0,10.34,17.0,9.82
19:50:31,7.6,10.31,17.0,9.82
19:50:33,8.3,10.32,20.0,9.81
19:50:35,8.6,10.31,21.0,9.79
19:50:37,5.3,10.31,20.0,9.79
19:50:39,7.5,10.31,20.0,9.75
19:50:41,7.1,10.25,20.0,9.75
19:50:43,7.2,10.25,20.0,9.75
19:50:45,6.6,10.25,20.0,9.75
19:50:47,6.9,10.23,18.0,9.86
19:50:49,12.1,10.26,4.0,9.86
19:50:51,8.1,10.28,17.0,9.81
19:50:53,7.3,10.27,21.0,9.77
19:50:55,6.8,10.26,20.0,9.77
19:50:57,5.6,10.25,19.0,9.77
19:50:59,7.3,10.25,20.0,9.74
19:51:01,10.2,10.27,16.0,9.81
19:51:03,17.9,10.28,92.0,9.81
19:51:05,7.4,10.27,20.0,9.79
19:51:07,5.9,10.27,20.0,9.77
19:51:09,8.3,10.27,20.0,9.76
19:51:11,7.2,10.26,20.0,9.76
19:51:13,10.7,10.34,22.0,9.8
19:51:15,9.3,10.32,24.0,9.76
19:51:17,5.3,10.29,22.0,9.75
19:51:19,8.7,10.3,22.0,9.75
19:51:21,13.9,10.31,94.0,9.81
19:51:23,18.8,10.31,93.0,9.8
19:51:25,20.7,10.31,95.0,9.79
19:51:27,11.0,10.32,17.0,9.82
19:51:29,7.2,10.27,18.0,9.81
19:51:31,21.4,10.35,93.0,9.87
19:51:33,11.3,10.33,23.0,9.83
19:51:35,7.8,10.33,22.0,9.83
19:51:37,6.4,10.33,22.0,9.8
19:51:39,7.8,10.31,22.0,9.8
19:51:41,7.0,10.3,22.0,9.8
19:51:43,8.2,10.26,22.0,9.8
19:51:45,7.6,10.28,22.0,9.8
19:51:47,5.2,10.29,22.0,9.8
19:51:49,8.4,10.28,22.0,9.79
19:51:51,9.2,10.23,22.0,9.79
19:51:53,6.4,10.25,22.0,9.79
19:51:55,7.7,10.25,22.0,9.79
19:51:57,14.4,10.29,5.0,9.83
19:51:59,12.2,10.31,22.0,9.82
19:52:01,8.0,10.28,18.0,9.83
19:52:03,10.7,10.2,21.0,9.84
19:52:05,21.2,10.21,96.0,9.87
19:52:07,12.7,10.2,23.0,9.89
19:52:09,5.6,10.18,21.0,9.89
19:52:11,14.2,5.69,0.0,3.83
